ordinal,item,itemLabel,start,end,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
1,Q42310039,1st Parliament of Singapore,1965-12-08,1968-02-08,1965-12-08,11,,,1968-02-08,11,,,,,Q42310038,2nd Parliament of Singapore,,,,
2,Q42310038,2nd Parliament of Singapore,1968-05-06,1972-08-16,1968-05-06,11,,,1972-08-16,11,,,Q42310039,1st Parliament of Singapore,Q42310037,3rd Parliament of Singapore,,,,
3,Q42310037,3rd Parliament of Singapore,1972-10-12,1976-12-06,1972-10-12,11,,,1976-12-06,11,,,Q42310038,2nd Parliament of Singapore,Q42310036,4th Parliament of Singapore,,,,
4,Q42310036,4th Parliament of Singapore,1977-02-07,1980-12-05,1977-02-07,11,,,1980-12-05,11,,,Q42310037,3rd Parliament of Singapore,Q42310035,5th Parliament of Singapore,,,,
5,Q42310035,5th Parliament of Singapore,1981-02-03,1984-12-04,1981-02-03,11,,,1984-12-04,11,,,Q42310036,4th Parliament of Singapore,Q42310034,6th Parliament of Singapore,,,,
6,Q42310034,6th Parliament of Singapore,1985-02-25,1988-08-17,1985-02-25,11,,,1988-08-17,11,,,Q42310035,5th Parliament of Singapore,Q42310033,7th Parliament of Singapore,,,,
7,Q42310033,7th Parliament of Singapore,1989-01-09,1991-08-14,1989-01-09,11,,,1991-08-14,11,,,Q42310034,6th Parliament of Singapore,Q42310031,8th Parliament of Singapore,,,,
8,Q42310031,8th Parliament of Singapore,1992-01-06,1996-12-16,1992-01-06,11,,,1996-12-16,11,,,Q42310033,7th Parliament of Singapore,Q42310030,9th Parliament of Singapore,,,,
9,Q42310030,9th Parliament of Singapore,1997-05-26,2001-10-18,1997-05-26,11,,,2001-10-18,11,,,Q42310031,8th Parliament of Singapore,Q4547129,10th Parliament of Singapore,,,,
10,Q4547129,10th Parliament of Singapore,2002-03-25,2006-04-20,2002-03-25,11,,,2006-04-20,11,,,Q42310030,9th Parliament of Singapore,Q4547944,11th Parliament of Singapore,,,,
11,Q4547944,11th Parliament of Singapore,2006-11-02,2011-04-19,2006-11-02,11,,,2011-04-19,11,,,Q4547129,10th Parliament of Singapore,Q4548902,12th Parliament of Singapore,,,,
12,Q4548902,12th Parliament of Singapore,2011-10-10,2015-08-25,2011-10-10,11,,,2015-08-25,11,,,Q4547944,11th Parliament of Singapore,Q20967954,13th Parliament of Singapore,,,,
13,Q20967954,13th Parliament of Singapore,2016-01-15,2020-06-23,2016-01-15,11,,,2020-06-23,11,,,Q4548902,12th Parliament of Singapore,Q104845061,14th Parliament of Singapore,,,,
14,Q104845061,14th Parliament of Singapore,2020-08-24,,2020-08-24,11,,,,,,,Q20967954,13th Parliament of Singapore,,,,,,
