wanted,position,positionid,from,start,end
Q15410291,Minister in the Prime Minister's Office,Q109122093,Q6743667,2020-07-27,
Q16215886,Minister for Social and Family Development,Q109192615,Q17722375,2020-07-27,
Q983752,Coordinating Minister for Economic Policies,Q97704065,Q5714209,2020-07-27,
Q15410291,Minister for Education,Q61961268,Q7093820,2018-05-01,2020-07-26
Q6548759,Minister for Manpower,Q6865922,Q16204683,2018-05-01,2021-05-14
Q7463219,Minister for Communications and Information,Q109121763,Q7387540,2018-05-01,2021-05-14
Q7463219,Minister in charge of Muslim Affairs,Q6865720,Q17722375,2018-05-01,
Q17496652,Chief of Navy,Q108822242,Q105648475,2017-06-16,2020-03-23
Q1876076,Minister for Transport,Q109191061,Q4354964,2015-10-01,2020-07-26
Q4354964,Minister for National Development,Q109121768,Q6504758,2015-10-01,2020-07-26
Q6548759,Minister in the Prime Minister's Office,Q109122093,Q17722375,2015-04-09,2015-09-30
Q6732618,Leader of the House,Q98077903,Q1984113,2011-05-31,2015-09-30
Q14188985,Minister in the Prime Minister's Office,Q109122093,Q7387540,2011-05-21,2015-09-30
Q58142,Minister for Foreign Affairs,Q256213,Q6324008,2011-05-21,2015-09-30
Q7463219,Minister for Sustainability and the Environment,Q109121637,Q7937671,2011-05-21,2015-09-30
Q313300,Chairman of the Monetary Authority,Q109534925,Q983752,2011-05-01,
Q8054981,Chief Justice,Q5096799,Q5070361,2006-04-11,2012-11-06
Q131248,Emeritus Senior Minister,Q3250656,Q313300,2004-08-12,2011-05-21
Q6513114,Minister for Manpower,Q6865922,Q1984113,2004-08-12,2006-05-29
Q7463219,"Minister for Culture, Community and Youth",Q109121114,Q7937671,2004-08-12,2011-05-20
Q1876076,Chief of Navy,Q108822242,Q7366002,2003-04-01,2007-08-31
