wanted,position,positionid,from,start,end
Q105647501,Chief of Navy,Q108822242,Q105648475,2017-06-16,2020-03-23
Q5714209,Co-ordinating Minister for Economic and Social Policies,Q24932297,Q983752,2015-10-01,
Q16215886,Minister for Social and Family Development,Q109192615,Q7682037,2015-05-04,2017-09-10
Q7682037,Minister for Manpower,Q6865922,Q983752,2011-05-21,2012-07-31
Q6548759,Minister in the Prime Minister's Office,Q109122093,Q6548691,2003-08-01,2004-08-11
Q5094489,Chief of Navy,Q108822242,Q7366002,2003-04-01,2007-08-31
Q4354964,Minister for National Development,Q109121768,Q6732618,1999-06-03,2011-05-20
Q7612204,Member of the Parliament of Singapore,Q21294917,Q2077565,1997-01-02,2001-11-03
