name,position
Mr LEE Hsien Loong,Prime Minister
Mr HENG Swee Keat,Deputy Prime Minister and Coordinating Minister for Economic Policies
Mr TEO Chee Hean,Senior Minister and Coordinating Minister for National Security
Mr Tharman SHANMUGARATNAM,Senior Minister and Coordinating Minister for Social Policies
Dr NG Eng Hen,Minister for Defence
Dr Vivian BALAKRISHNAN,Minister for Foreign Affairs
Mr K Shanmugam,Minister for Home Affairs and Minister for Law
Mr GAN Kim Yong,Minister for Trade and Industry
Mr S Iswaran,Minister for Transport
Ms Grace FU Hai Yien,Minister for Sustainability and the Environment
Mr CHAN Chun Sing,Minister for Education
Mr Lawrence WONG,Minister for Finance
Mr MASAGOS Zulkifli,Minister for Social and Family Development and Second Minister for Health
Mr ONG Ye Kung,Minister for Health
Mr Desmond LEE,Minister for National Development
Mrs Josephine TEO,Minister for Communications and Information and Second Minister for Home Affairs
Ms Indranee THURAI RAJAH,"Minister, Prime Minister's Office, Second Minister for Finance and Second Minister for National Development"
Dr MOHAMAD MALIKI Bin Osman,"Minister, Prime Minister's Office, Second Minister for Education and Second Minister for Foreign Affairs"
Mr Edwin TONG,"Minister for Culture, Community and Youth and Second Minister for Law"
Dr TAN See Leng,Minister for Manpower and Second Minister for Trade and Industry
