position,title
Q39021,President
Q866756,Prime Minister
Q5261072,Deputy Prime Minister
Q20983917,Senior Minister
Q109121763,Minister for Communications and Information
Q109121114,"Minister for Culture, Community and Youth"
Q19840113,Minister for Defence
Q24932297,Co-ordinating Minister for Economic and Social Policies
Q97704065,Coordinating Minister for Economic Policies
Q61961268,Minister for Education
Q6118636,Minister for Finance
Q256213,Minister for Foreign Affairs
Q20983896,Minister for Health
Q11393870,Minister for Home Affairs
Q6866005,Minister for the Interior and Defence
Q6865909,Minister for Law
Q6865922,Minister for Manpower
Q109121768,Minister for National Development
Q5137493,Co-ordinating Minister for National Security
Q109122093,Minister in the Prime Minister's Office
Q109123397,Minister for Science and Technology
Q109192615,Minister for Social and Family Development
Q109121637,Minister for Sustainability and the Environment
Q20983892,Minister for Trade and Industry
Q109191061,Minister for Transport
Q165270,Minister Mentor
Q6865720,Minister in charge of Muslim Affairs
Q98077903,Leader of the House
Q6597968,Speaker of the Parliament
Q4818608,Attorney-General
Q5096799,Chief Justice
Q5097020,Chief of Defence Force
Q109534925,Chairman of the Monetary Authority
