item,itemLabel,startDate,endDate
,A.J. Braga,1955,1959
Q4695349,Ahmad Ibrahim,1959-06-05,1961
Q85279327,Kenneth Michael Byrne,1961,1963
Q8054968,Yong Nyuk Lin,1963,1968
Q16019663,Chua Sian Chin,1968,1974
Q703209,Toh Chin Chye,1975,1981
Q313300,Goh Chok Tong,1981,1982
Q5921606,Howe Yoon Chong,1982,1984
Q38987,Tony Tan Keng Yam,1985,1986
Q7326576,Richard Hu,1985,1987
Q8052396,Yeo Cheow Tong,1987,1994
Q58142,George Yeo,1994,1997
Q8052396,Yeo Cheow Tong,1997,1999
Q6548691,Lim Hng Kiang,1999,2003
Q4354964,Khaw Boon Wan,2003,2004
Q4354964,Khaw Boon Wan,2004,2011
Q5520446,Gan Kim Yong,2011-05-21,2021-05-14
Q7093820,Ong Ye Kung,2021-05-15,
